,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
0,Česká pravice,9,Adámek Petr,,54,ČP,BEZPP,419,2.41,,,2002
1,Karlovarská koalice,19,Andrejkivová Pavla,,56,KDU-ČSL,KDU-ČSL,3158,3.14,4,*,2002
2,Karlovarská koalice,20,Antonik Jozef,,58,VPM,BEZPP,2588,2.57,11,,2002
3,Komunistická str.Čech a Moravy,14,Aubrecht Miroslav,,73,KSČM,KSČM,1858,2.58,8,,2002
4,Strana zelených,9,Balák Libor,,41,SZ,BEZPP,1229,4.35,2,,2002
5,Strana zelených,25,Bank Roman,,26,SZ,BEZPP,614,2.17,23,,2002
6,NEZÁVISLÍ,30,Barešová Petra,,19,NEZ,BEZPP,157,2.30,,,2002
7,Občanská demokratická strana,28,Bártík Josef,Ing. ,73,ODS,ODS,3001,2.46,18,,2002
8,Občanská demokratická strana,32,Bartoš Bohumil,,64,ODS,ODS,2883,2.36,22,,2002
9,Česká str.sociálně demokrat.,7,Bartoš Richard,,54,ČSSD,ČSSD,2360,2.76,3,,2002
10,NEZÁVISLÍ,4,Bártů Miluše,,38,NEZ,NEZ,213,3.12,,,2002
11,Občanská demokratická strana,3,Bauer Josef,,52,ODS,ODS,3458,2.83,6,*,2002
12,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",27,Bauše Vlastimil,,62,NK,BEZPP,502,2.06,,,2002
13,Karlovarská koalice,29,Baxa Petr,,30,KDU-ČSL,KDU-ČSL,2405,2.39,20,,2002
14,Strana demokrat.socialismu,4,Benda Václav,,29,SDS,BEZPP,206,2.86,,,2002
15,NEZÁVISLÍ,13,Beneš Martin,,36,NEZ,BEZPP,167,2.45,,,2002
16,Česká pravice,14,Beneš Pavel,,30,ČP,BEZPP,360,2.07,,,2002
17,NEZÁVISLÍ,10,Benešová Lucie,,19,NEZ,BEZPP,178,2.61,,,2002
18,Karlovarská koalice,12,Beran František,,47,KDU-ČSL,KDU-ČSL,2519,2.50,5,,2002
19,Strana demokrat.socialismu,3,Beran Vladimír,MUDr. ,63,SDS,BEZPP,381,5.30,,,2002
20,Strana demokrat.socialismu,7,Beránek Ladislav,,70,SDS,BEZPP,158,2.19,,,2002
21,Komunistická str.Čech a Moravy,5,Bešťáková Kamila,PhDr. ,58,KSČM,KSČM,2208,3.07,3,*,2002
22,NEZÁVISLÍ,16,Bláha František,,31,NEZ,BEZPP,152,2.23,,,2002
23,Strana za životní jistoty,3,Blahoutová Alena,,37,SŽJ,SŽJ,186,20.52,,,2002
24,Česká pravice,32,Blumentrit Arnošt,,65,ČP,BEZPP,318,1.83,,,2002
25,Komunistická str.Čech a Moravy,2,Borka Jaroslav,Mgr. ,50,KSČM,KSČM,2276,3.17,2,*,2002
26,Sdružení nezávislých,18,Böse František,,52,SNK ED,BEZPP,1252,2.72,14,,2002
27,"Sdružení ČSNS, NK",21,Bouchal Jan,,31,ČSNS,ČSNS,86,2.30,,,2002
28,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",6,Bouška Pavel,MUDr. ,39,ODA,ODA,1408,5.78,,,2002
29,NEZÁVISLÍ,24,Brabcová Romana,,32,NEZ,BEZPP,144,2.11,,,2002
30,Karlovarská koalice,25,Brdlík Jiří,MUDr. ,45,VPM,BEZPP,2937,2.92,16,,2002
31,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",4,Brož Jiří,Mgr. ,33,ODA,ODA,685,2.81,,,2002
32,Komunistická str.Čech a Moravy,28,Bruner Adolf,,75,KSČM,KSČM,1799,2.50,22,,2002
33,Strana demokrat.socialismu,22,Bubník František,,73,SDS,BEZPP,138,1.92,,,2002
34,Strana demokrat.socialismu,23,Bunešová Jaroslava,,59,SDS,BEZPP,135,1.87,,,2002
35,Sdružení nezávislých,25,Bunganič Vsevolod,Ing. ,58,SNK ED,BEZPP,1011,2.19,21,,2002
36,Sdružení nezávislých,13,Bursík Kamil,Ing. ,63,SNK ED,BEZPP,1619,3.52,4,*,2002
37,Pravý Blok,10,Celer Alexander,,68,PB,BEZPP,47,4.90,,,2002
38,Česká str.sociálně demokrat.,13,Cenov Valentin,Ing. ,59,ČSSD,ČSSD,2398,2.81,7,,2002
39,Strana zelených,26,Czerneková Jana,,58,SZ,BEZPP,643,2.27,24,,2002
40,"Sdružení ČSNS, NK",17,Čábela Jaroslav,,55,ČSNS,ČSNS,139,3.73,,,2002
41,Česká str.sociálně demokrat.,36,Čapková Helena,,35,ČSSD,ČSSD,1899,2.22,29,,2002
42,Strana za životní jistoty,23,Čejková Jarmila,,68,SŽJ,SŽJ,77,8.49,,,2002
43,Česká str.sociálně demokrat.,12,Čermák Jindřich,,20,ČSSD,ČSSD,2339,2.74,6,,2002
44,Karlovarská koalice,11,Čermáková Anna,MVDr. ,52,US-DEU,BEZPP,3059,3.04,6,*,2002
45,Strana zelených,28,Česká Jana,,28,SZ,BEZPP,593,2.10,26,,2002
46,NEZÁVISLÍ,15,Čičalová Veronika,,20,NEZ,BEZPP,190,2.79,,,2002
47,Komunistická str.Čech a Moravy,35,Čiriková Vladislava,,62,KSČM,KSČM,1763,2.45,29,,2002
48,Občanská demokratická strana,33,Daniš Vlastimil,,75,ODS,ODS,2816,2.30,23,,2002
49,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",9,David Viktor,,46,NK,US-DEU,645,2.65,,,2002
50,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",37,Davidová Helena,,44,NK,BEZPP,390,1.60,,,2002
51,Česká str.sociálně demokrat.,8,Dietz Jiří,,36,ČSSD,ČSSD,2537,2.97,4,*,2002
52,Česká str.sociálně demokrat.,34,Doleček Zdeněk,Mgr. ,79,ČSSD,ČSSD,1923,2.25,27,,2002
53,Komunistická str.Čech a Moravy,6,Doležalová Danuše,,57,KSČM,KSČM,1967,2.74,6,*,2002
54,Komunistická str.Čech a Moravy,25,Doležalová Marie,,70,KSČM,KSČM,1815,2.52,19,,2002
55,Sdružení nezávislých,36,Draská Michaela,,31,SNK ED,BEZPP,892,1.93,32,,2002
56,Pravý Blok,3,Drobková Olga,,72,PB,PB,47,4.90,,,2002
57,Karlovarská koalice,3,Duda Jan,Ing. ,41,US-DEU,US-DEU,2801,2.78,8,*,2002
58,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",15,Duda Josef,,38,ODA,ODA,535,2.19,,,2002
59,NEZÁVISLÍ,11,Dušková Martina,,29,NEZ,BEZPP,182,2.67,,,2002
60,Česká pravice,21,Dvorská Marie,,30,ČP,BEZPP,385,2.21,,,2002
61,"Sdružení ČSNS, NK",23,Dvořáková Monika,,34,NK,BEZPP,86,2.30,,,2002
62,Strana zelených,10,Erberová Soňa,Mgr. ,31,SZ,SZ,817,2.89,10,,2002
63,Česká pravice,20,Erlebach Ralph,,55,ČP,BEZPP,348,2.00,,,2002
64,Komunistická str.Čech a Moravy,3,Ettlerová Naděžda,,47,KSČM,KSČM,2128,2.96,4,*,2002
65,Karlovarská koalice,27,Feureisl Jiří,,71,VPM,BEZPP,2703,2.68,18,,2002
66,Strana demokrat.socialismu,26,Fiala Bohuslav,,63,SDS,BEZPP,136,1.89,,,2002
67,Česká str.sociálně demokrat.,11,Fiala Jaroslav,Ing. CSc.,46,ČSSD,ČSSD,2494,2.92,5,*,2002
68,Strana demokrat.socialismu,16,Fiala Ludvík,,35,SDS,BEZPP,166,2.30,,,2002
69,Strana demokrat.socialismu,35,Fiala Richard,,74,SDS,SDS,119,1.65,,,2002
70,Strana demokrat.socialismu,32,Fialová Alice,,69,SDS,BEZPP,126,1.75,,,2002
71,Sdružení nezávislých,38,Fidlerová Štěpánka,,18,SNK ED,BEZPP,848,1.84,34,,2002
72,Strana demokrat.socialismu,24,Förster Bruno,Ing. ,60,SDS,SDS,153,2.12,,,2002
73,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",31,Fukárek Ladislav,Mgr. ,37,NK,BEZPP,695,2.85,,,2002
74,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",13,Gabányiová Lucie,JUDr. ,40,ODA,ODA,1034,4.25,,,2002
75,Česká pravice,28,Gazdačko Jan,Ing. ,48,ČP,BEZPP,390,2.24,,,2002
